Facility,Date,Description
South Pars Gas Field,"March 18, 2026","Israel struck Iran's key natural gas field, an energy lifeline for the country, leading to a major regional escalation."
Qatar and Saudi energy facilities,"March 18, 2026",Iran launched retaliatory missile strikes against Qatari and Saudi energy infrastructure following the attack on South Pars.
Haifa Oil Refinery,"March 19, 2026","An Iranian missile attack struck Israel's Haifa refinery, causing damage to essential infrastructure."
Kuwaiti oil refinery,"March 20, 2026",Iran hit a refinery in Kuwait as part of a wave of attacks on Gulf energy sites.
Haifa Oil Refinery,"March 30, 2026",A second missile attack on the Haifa refinery caused a fire and prompted a one-week ultimatum from Donald Trump.
UAE Gas Field,"April 06, 2026",Iran struck a major gas field in the United Arab Emirates in retaliation for intensifying Israeli strikes.
South Pars Petrochemical Complex,"April 06, 2026",US and Israeli forces carried out a powerful strike on Iran's largest petrochemical facility in southwestern Iran.
Jubail Petrochemical Complex,"April 07, 2026",The IRGC confirmed an overnight attack on Saudi Arabia's Jubail petrochemical hub following strikes on Iranian facilities.
Shiraz Petrochemical Complex,"April 07, 2026","The Israeli army targeted and struck a petrochemical complex in the city of Shiraz, Iran."
Lavan Island Oil Refinery,"April 08, 2026","A major attack, allegedly involving UAE Mirage jets, struck the refinery on Lavan Island hours after a US-brokered ceasefire began."
"Energy facilities in Saudi Arabia, Kuwait, and UAE","April 08, 2026",Iran launched retaliatory strikes against energy infrastructure in several Gulf states following the post-ceasefire attack on the Lavan refinery.
