Facility,Date,Description
Bazan oil refinery complex,"Sat, 28 Feb 2026",The Bazan oil refinery complex in Haifa shut some facilities due to the escalating conflict between Israel and Iran.
Israel's natural gas fields,"Sat, 28 Feb 2026","Israel shut down its natural gas fields as the Iran attack unfolded, halting gas production and refinery operations."
Khor Mor gas field,"Sat, 28 Feb 2026",The Khor Mor gas field suspended operations due to the conflict.
Saudi Aramco refinery,"Sun, 01 Mar 2026","A Saudi Aramco refinery in Saudi Arabia was hit by a suspected drone strike, and another refinery in Kuwait was affected by debris."
Ras Tanura refinery,"Sun, 01 Mar 2026",Saudi Aramco shut the Ras Tanura refinery after a drone strike.
Aramco Oil Refinery,"Sun, 01 Mar 2026",Iran's drones hit the Aramco Oil Refinery in Saudi Arabia.
Krasnodar refinery,"Sat, 28 Feb 2026",A drone attack sparked a fire at the Krasnodar refinery.
Saudi refinery,"Mon, 02 Mar 2026","Iran attacked a giant Saudi refinery, pushing up oil prices. The attack has affected global oil markets."
Qatar LNG production facilities,"Mon, 02 Mar 2026","Iranian drone strikes shut down Qatar LNG production facilities, causing energy prices to surge."
Ras Tanura refinery,"Mon, 02 Mar 2026","Drones hit the Saudi Ras Tanura refinery as Iran strikes targets across the region, causing a fire at the refinery."
Aramco oil refinery,"Mon, 02 Mar 2026","Missile debris sparked a fire at the Aramco oil refinery in Saudi Arabia, and the refinery was later shut down after a drone attack."
Leviathan and Karish gas fields,"Mon, 02 Mar 2026","Israel halted the Leviathan and Karish gas fields after Iran strikes, affecting oil and gas production in the region."
Iraqi Kurdish and Israeli oil and gas fields,"Mon, 02 Mar 2026","Iraqi Kurdish and Israeli oil and gas fields were shut down amid Mideast strikes, affecting the regional energy supply."
Saudi Aramco refinery,"Mon, 02 Mar 2026","Iranian drones struck the refinery, forcing a shutdown and pushing up oil prices."
Israeli oil and gas fields,"Mon, 02 Mar 2026","Mideast strikes forced the shutdown of Israeli oil and gas fields, contributing to the escalation of the conflict."
Iraqi Kurdish oil and gas fields,"Mon, 02 Mar 2026","Mideast strikes led to the shutdown of Iraqi Kurdish oil and gas fields, further disrupting regional energy production."
Duqm port fuel tank,"Tue, 03 Mar 2026","A drone hit a fuel tank at Oman's Duqm port, marking another incident in the series of attacks on regional energy infrastructure."
Saudi Arabia's largest oil refinery,2026-03-03,Iranian drones forced the shutdown of Saudi Arabia's largest oil refinery. The attack has triggered energy fears in the region.
Gulf oil and gas sites,2026-03-03,"Iran attacked multiple oil and gas sites in the Gulf, causing significant damage and disrupting energy production."
Qatar LNG and Saudi oil refinery,2026-03-03,"Middle East strikes halted Qatar LNG and Saudi oil refinery operations, affecting global energy supplies."
Saudi Aramco,2026-03-03,"Iran blamed Israel for a drone attack on Saudi Aramco, calling it a 'false flag' operation."
Ras Tanura oil refinery,2026-03-03,"A drone hit the Ras Tanura oil refinery in Saudi Arabia, causing damage and disrupting operations."
Duqm port,2026-03-03,"A drone hit a fuel tank at Oman's Duqm port, causing damage and disrupting operations."
Saudi Aramco's largest refinery,2026-03-04,"The refinery was hit again by a drone, causing damage and disrupting operations."
Ras Tanura oil refinery,2026-03-04,"Saudi Arabia reported an attempted attack on the Ras Tanura oil refinery, but no damage was caused."
Refineries in Saudi Arabia and Kuwait,2026-03-04,"Iran attacked refineries in Saudi Arabia and Kuwait, causing damage and disrupting energy production."
Ras Tanura oil refinery,"Wed, 04 Mar 2026","Saudi Arabia reports attempted attack on Ras Tanura oil refinery, no damage reported. Saudi Arabia also reports drone attack on Ras Tanura refinery."
Saudi Aramco's Largest Refinery,"Wed, 04 Mar 2026","Saudi Aramco's Largest Refinery Hit Again By Drone, and Saudi Aramco suspends operations at Ras Tanura refinery."
Bapco refinery,"Thu, 05 Mar 2026","Iranian missile strikes Bahrain's main oil refinery, fire breaks out but is contained. Bahrain's key oil refinery BAPCO in flames after 'Iranian ballistic missile attack'."
Al-Kharj,"Thu, 05 Mar 2026","Saudi air defenses neutralize missile, drone threats targeting Al-Kharj and Ras Tanura."
